Stage,Date,Distance
1,7/1/2017,14
2,7/2/2017,203.5
3,7/3/2017,212.5
4,7/4/2017,207.5
5,7/5/2017,160.5
6,7/6/2017,216
7,7/7/2017,213.5
8,7/8/2017,187.5
9,7/9/2017,181.5
10,7/11/2017,178
11,7/12/2017,203.5
12,7/13/2017,214.5
13,7/14/2017,101
14,7/15/2017,181.5
15,7/16/2017,189.5
16,7/18/2017,165
17,7/19/2017,183
18,7/20/2017,179.5
19,7/21/2017,222.5
20,7/22/2017,22.5
21,7/23/2017,103
1,7/2/2016,188
2,7/3/2016,183
3,7/4/2016,223.5
4,7/5/2016,237.5
5,7/6/2016,216
6,7/7/2016,190.5
7,7/8/2016,162.5
8,7/9/2016,184
9,7/10/2016,184.5
10,7/12/2016,197
11,7/13/2016,162.5
12,7/14/2016,178
13,7/15/2016,37.5
14,7/16/2016,208.5
15,7/17/2016,160
16,7/18/2016,209
17,7/20/2016,184.5
18,7/21/2016,17
19,7/22/2016,146
20,7/23/2016,146.5
21,7/24/2016,113
1,7/4/2015,13.8
2,7/5/2015,166
3,7/6/2015,159.5
4,7/7/2015,223.5
5,7/8/2015,189.5
6,7/9/2015,191.5
7,7/10/2015,190.5
8,7/11/2015,181.5
9,7/12/2015,28
10,7/14/2015,167
11,7/15/2015,188
12,7/16/2015,195
13,7/17/2015,198.5
14,7/18/2015,178.5
15,7/19/2015,183
16,7/20/2015,201
17,7/22/2015,161
18,7/23/2015,186.5
19,7/24/2015,138
20,7/25/2015,110.5
21,7/26/2015,109.5
1,7/5/2014,190.5
2,7/6/2014,201
3,7/7/2014,155
4,7/8/2014,163.5
5,7/9/2014,152.5
6,7/10/2014,194
7,7/11/2014,234.5
8,7/12/2014,161
9,7/13/2014,170
10,7/14/2014,161.5
11,7/16/2014,187.5
12,7/17/2014,185.5
13,7/18/2014,197.5
14,7/19/2014,177
15,7/20/2014,222
16,7/22/2014,237.5
17,7/23/2014,124.5
18,7/24/2014,145.5
19,7/25/2014,208.5
20,7/26/2014,54
21,7/27/2014,137.5
1,6/29/2013,213
2,6/30/2013,156
3,7/1/2013,145.5
4,7/2/2013,25
