Date,Origin,Destination
7/1/2017,Düsseldorf,Düsseldorf
7/2/2017,Düsseldorf,Liège
7/3/2017,Verviers,Longwy
7/4/2017,Mondorf-les-Bains,Vittel
7/5/2017,Vittel,La Planche des Belles Filles
7/6/2017,Vesoul,Troyes
7/7/2017,Troyes,Nuits-Saint-Georges
7/8/2017,Dole,Station des Rousses
7/9/2017,Nantua,Chambéry
7/11/2017,Périgueux,Bergerac
7/12/2017,Eymet,Pau
7/13/2017,Pau,Peyragudes
7/14/2017,Saint-Girons,Foix
7/15/2017,Blagnac,Rodez
7/16/2017,Laissac-Sévérac-l'Église,Le Puy-en-Velay
7/18/2017,Le Puy-en-Velay,Romans-sur-Isère
7/19/2017,La Mure,Serre Chevalier
7/20/2017,Briançon,Col d'Izoard
7/21/2017,Embrun,Salon-de-Provence
7/22/2017,Marseille,Marseille
7/23/2017,Montgeron,Paris
7/2/2016,Mont Saint-Michel,Utah Beach
7/3/2016,Saint-Lô,Cherbourg-en-Cotentin
7/4/2016,Granville,Angers
7/5/2016,Saumur,Limoges
7/6/2016,Limoges,Le Lioran
7/7/2016,Arpajon-sur-Cère,Montauban
7/8/2016,L'Isle-Jourdain,Lac de Payolle
7/9/2016,Pau,Bagnères-de-Luchon
7/10/2016,Vielha Val d'Aran,Andorra-Arcalis
7/12/2016,Escaldes-Engordany,Revel
7/13/2016,Carcassonne,Montpellier
7/14/2016,Montpellier,Chalet Reynard
7/15/2016,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc
7/16/2016,Montélimar,Villars-les-Dombes
7/17/2016,Bourg-en-Bresse,Culoz
7/18/2016,Moirans-en-Montagne,Bern
7/20/2016,Bern,Finhaut-Émosson
7/21/2016,Sallanches,Megève
7/22/2016,Albertville,Saint Gervais-les-Bains
7/23/2016,Megève,Morzine
7/24/2016,Chantilly,Paris
7/4/2015,Utrecht,Utrecht
7/5/2015,Utrecht,Zeeland
7/6/2015,Antwerp,Huy
7/7/2015,Seraing,Cambrai
7/8/2015,Arras,Amiens
7/9/2015,Abbeville,Le Havre
7/10/2015,Livarot,Fougères
7/11/2015,Rennes,Mûr-de-Bretagne
7/12/2015,Vannes,Plumelec
7/14/2015,Tarbes,La Pierre Saint-Martin
7/15/2015,Pau,Cauterets
7/16/2015,Lannemezan,Plateau de Beille
7/17/2015,Muret,Rodez
7/18/2015,Rodez,Mende
7/19/2015,Mende,Valence
7/20/2015,Bourg-de-Péage,Gap
7/22/2015,Digne-les-Bains,Pra-Loup
7/23/2015,Gap,Saint-Jean-de-Maurienne
7/24/2015,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles
7/25/2015,Modane,Alpe d'Huez
7/26/2015,Sèvres,Paris
7/5/2014,Leeds,Harrogate
7/6/2014,York,Sheffield
7/7/2014,Cambridge,London
7/8/2014,Le Touquet-Paris-Plage,Lille Metropole
7/9/2014,Ypres,Arenberg Porte du Hainaut
7/10/2014,Arras,Reims
7/11/2014,Épernay,Nancy
7/12/2014,Tomblaine,Gérardmer La Mauselaine
7/13/2014,Gérardmer,Mulhouse
7/14/2014,Mulhouse,La Planche des Belles Filles
7/16/2014,Besançon,Oyonnax
7/17/2014,Bourg-en-Bresse,Saint-Étienne
7/18/2014,Saint-Étienne,Chamrousse
7/19/2014,Grenoble,Risoul
7/20/2014,Tallard,Nîmes
7/22/2014,Carcassonne,Bagnères-de-Luchon
7/23/2014,Saint-Gaudens,Saint-Lary Pla d’Adet
7/24/2014,Pau,Hautacam
7/25/2014,Maubourguet Pays du Val d’Adour,Bergerac
7/26/2014,Bergerac,Périgueux
7/27/2014,Évry,Paris
6/29/2013,Porto-Vecchio,Bastia
6/30/2013,Bastia,Ajaccio
7/1/2013,Ajaccio,Calvi
7/2/2013,Nice,Nice
7/3/2013,Cagnes-sur-Mer,Marseille
7/4/2013,Aix-en-Provence,Montpellier
7/5/2013,Montpellier,Albi
7/6/2013,Castres,Ax 3 Domaines
7/7/2013,Saint-Girons,Bagnères-de-Bigorre
7/9/2013,Saint-Gildas-des-Bois,Saint-Malo
7/10/2013,Avranches,Mont Saint-Michel
7/11/2013,Fougères,Tours
7/12/2013,Tours,Saint-Amand-Montrond
7/13/2013,Saint-Pourçain-sur-Sioule,Lyon
7/14/2013,Givors,Mont Ventoux
7/16/2013,Vaison-la-Romaine,Gap
7/17/2013,Embrun,Chorges
7/18/2013,Gap,Alpe d'Huez
7/19/2013,Le Bourg-d'Oisans,Le Grand-Bornand
7/20/2013,Annecy,Semnoz
7/21/2013,Versailles,Paris
6/30/2012,Liège,Liège
7/1/2012,Liège,Seraing
7/2/2012,Visé,Tournai
7/3/2012,Orchies,Boulogne-sur-Mer
7/4/2012,Abbeville,Rouen
7/5/2012,Rouen,Saint-Quentin
7/6/2012,Épernay,Metz
7/7/2012,Tomblaine,La Planche des Belles Filles
7/8/2012,Belfort,Porrentruy
7/9/2012,Arc-et-Senans,Besançon
7/11/2012,Mâcon,Bellegarde-sur-Valserine
7/12/2012,Albertville,La Toussuire-Les Sybelles
7/13/2012,Saint-Jean-de-Maurienne,Annonay-Davézieux
7/14/2012,Saint-Paul-Trois-Châteaux,Cap d'Agde
7/15/2012,Limoux,Foix
7/16/2012,Samatan,Pau
7/18/2012,Pau,Bagnères-de-Luchon
7/19/2012,Bagnères-de-Luchon,Peyragudes
7/20/2012,Blagnac,Brive-la-Gaillarde
7/21/2012,Bonneval,Chartres
7/22/2012,Rambouillet,Paris
7/2/2011,Passage du Gois,Mont des Alouettes
7/3/2011,Les Essarts,Les Essarts
7/4/2011,Olonne-sur-Mer,Redon
7/5/2011,Lorient,Mûr-de-Bretagne
7/6/2011,Carhaix,Cap Fréhel
7/7/2011,Dinan,Lisieux
7/8/2011,Le Mans,Châteauroux
7/9/2011,Aigurande,Super Besse
7/10/2011,Issoire,Saint-Flour
7/12/2011,Aurillac,Carmaux
7/13/2011,Blaye-les-Mines,Lavaur
7/14/2011,Cugnaux,Luz Ardiden
7/15/2011,Pau,Lourdes
7/16/2011,Saint-Gaudens,Plateau de Beille
7/17/2011,Limoux,Montpellier
7/19/2011,Saint-Paul-Trois-Châteaux,Gap
7/20/2011,Gap,Pinerolo
